Protein_ID,Drug_ID,Binding_Affinity,Interaction_Score,Hydrophobicity_Index,Molecular_Weight,Toxicity_Potential,LogP,pH_Stability,Target_Specificity,ADR_Predicted,Charge_At_pH7,Half_Life_Hours,Bioavailability,Solubility,Metabolism_Rate,Plasma_Protein_Binding
P01562,D0042,0.649,0.561,0.173,312.22,0.164,2.25,7.14,0.627,0,-1.4,61.8,0.203,0.39,3.98,0.056
P02033,D0400,0.915,0.3,0.62,454.87,0.765,1.47,5.06,0.573,1,-1.18,19.7,0.025,-8.17,2.66,0.601
P04865,D0622,0.354,0.593,0.938,222.82,0.097,4.82,8.67,0.461,0,0.45,26.0,0.922,-8.6,0.33,0.572
P09539,D0258,0.495,0.63,0.251,252.94,0.955,3.19,4.57,0.636,0,2.0,39.9,0.114,-5.44,2.83,0.688
P04845,D0865,0.323,0.649,-0.663,425.32,0.77,-1.55,7.3,0.9,0,0.38,64.1,0.816,-4.32,1.49,0.329
P08303,D0627,0.704,0.27,-0.394,459.32,0.701,6.38,6.16,0.248,0,0.1,51.9,0.568,-3.08,1.63,0.447
P05762,D0375,0.13,0.618,0.323,732.01,0.217,-1.12,8.85,0.934,0,1.19,55.0,0.413,-9.93,0.93,0.8
P03806,D0938,0.753,0.586,0.564,717.22,0.141,-1.27,5.81,0.861,0,0.73,14.6,0.445,-2.91,0.98,0.001
P08775,D0077,0.781,0.497,0.309,330.09,0.146,0.67,6.33,0.441,0,-0.96,28.1,0.28,-3.4,2.65,0.302
P06793,D0064,0.066,0.514,0.158,287.91,0.231,0.73,8.29,0.048,0,-0.4,53.6,0.675,-6.72,2.47,0.369
P07226,D0122,0.4,0.504,0.854,276.23,0.835,-2.19,5.57,0.629,0,0.74,70.7,0.438,-7.07,2.52,0.574
P07541,D0917,0.697,0.426,-0.007,593.04,0.66,-2.02,6.02,0.178,0,1.16,28.3,0.671,-9.45,1.25,0.511
P03368,D0803,0.094,0.323,0.333,585.4,0.968,6.72,6.69,0.046,0,1.48,68.1,0.33,-5.95,3.04,0.176
P07351,D0538,0.793,0.341,-0.375,228.7,0.093,-1.81,6.84,0.366,0,-0.25,39.1,0.319,-3.01,3.58,0.155
P09210,D0946,0.642,0.465,-0.222,405.3,0.706,6.6,4.57,0.858,0,-0.23,54.4,0.501,-0.81,4.71,0.726
P05136,D0816,0.463,0.514,-0.531,805.79,0.853,3.91,5.59,0.145,0,-0.31,4.6,0.279,-9.48,4.59,0.445
P06987,D0380,0.095,0.823,0.601,856.71,0.481,-0.82,5.03,0.93,0,-0.62,2.0,0.949,-7.24,4.4,0.488
P05964,D0586,0.071,0.599,-0.602,878.94,0.059,1.12,8.86,0.065,0,1.8,68.3,0.352,-9.77,1.03,0.126
P02099,D0756,0.245,0.502,-0.535,670.22,0.648,-0.69,5.38,0.016,0,-1.66,8.6,0.228,-7.28,4.4,0.223
P06639,D0964,0.79,0.461,-0.786,178.29,0.621,-0.66,4.07,0.089,1,-1.92,60.0,0.292,-8.99,1.5,0.166
P09977,D0706,0.89,0.46,0.469,513.88,0.943,3.48,4.52,0.34,1,1.39,13.0,0.898,-7.44,1.54,0.371
P06465,D0078,0.248,0.551,-0.848,332.39,0.825,0.36,6.59,0.576,0,-1.08,45.8,0.053,-0.47,2.02,0.341
P07830,D0298,0.304,0.404,-0.881,815.98,0.544,5.48,7.23,0.903,0,-1.76,37.3,0.901,-5.85,0.12,0.412
P08238,D0282,0.17,0.531,0.251,181.75,0.113,2.27,4.39,0.776,0,-1.28,9.7,0.616,-0.13,3.44,0.598
P09023,D0083,0.686,0.251,-0.249,234.71,0.055,-0.38,4.19,0.867,0,-1.22,16.4,0.607,-0.59,2.54,0.175
P09429,D0124,0.028,0.519,0.854,364.67,0.903,-2.65,5.9,0.922,0,0.09,46.0,0.081,-6.15,2.96,0.734
P00268,D0891,0.931,0.35,0.754,675.64,0.474,2.93,6.19,0.327,0,-1.92,63.3,0.383,-2.82,3.77,0.245
P05403,D0616,0.275,0.282,-0.006,852.15,0.642,6.37,5.39,0.413,0,-1.16,13.3,0.931,-5.16,4.31,0.777
P06207,D0546,0.77,0.576,-0.836,441.13,0.716,2.06,5.41,0.938,0,-0.65,38.4,0.0,-1.0,0.25,0.494
P02449,D0831,0.965,0.445,0.101,406.23,0.555,2.42,7.21,0.847,0,-0.98,71.6,0.391,-9.77,4.4,0.372
P08494,D0180,0.147,0.465,0.989,737.03,0.862,-0.3,6.68,0.114,0,0.94,33.4,0.547,-4.44,3.71,0.43
P00272,D0964,0.124,0.328,0.321,823.66,0.06,3.57,4.86,0.178,0,-1.94,11.9,0.44,-6.88,3.68,0.639
P00696,D0152,0.276,0.508,0.588,215.7,0.764,2.08,5.9,0.921,0,0.21,65.7,0.808,0.31,0.33,0.423
P09644,D0357,0.59,0.544,-0.193,889.59,0.762,4.14,4.68,0.288,0,0.34,64.3,0.53,-2.19,0.32,0.147
P09985,D0554,0.001,0.708,-0.851,532.31,0.232,-1.79,4.45,0.257,0,0.69,3.5,0.657,-2.31,0.7,0.704
P02185,D0960,0.606,0.619,0.88,895.69,0.121,-0.69,7.52,0.882,0,1.28,28.8,0.12,-0.32,4.69,0.963
P04632,D0442,0.577,0.532,-0.341,159.54,0.638,5.25,8.4,0.562,0,-0.25,69.4,0.24,-3.71,2.72,0.164
P07297,D0113,0.046,0.536,-0.697,818.23,0.333,6.67,5.89,0.539,0,-1.75,34.4,0.889,-5.87,0.8,0.285
P07372,D0226,0.523,0.657,-0.689,224.03,0.015,5.18,4.51,0.421,0,0.01,44.6,0.568,-4.07,0.12,0.81
P03948,D0268,0.834,0.437,-0.728,733.35,0.439,1.46,4.98,0.665,0,0.96,17.2,0.675,-6.67,1.35,0.783
P05733,D0026,0.299,0.436,-0.141,150.22,0.639,-2.28,8.28,0.365,0,-1.61,50.6,0.269,-8.99,4.61,0.068
P00656,D0585,0.818,0.303,0.72,252.26,0.918,5.75,4.84,0.984,0,1.09,41.1,0.882,0.33,3.88,0.384
P03728,D0265,0.442,0.324,-0.706,270.72,0.433,5.08,4.93,0.406,0,-1.38,41.7,0.162,-8.32,2.4,0.905
P00289,D0476,0.842,0.616,0.511,605.38,0.144,6.6,4.94,0.202,0,1.41,43.4,0.762,-3.7,2.75,0.499
P01729,D0311,0.471,0.528,-0.855,670.46,0.431,1.1,7.54,0.067,0,-1.88,1.8,0.191,-8.37,3.42,0.159
P07230,D0119,0.901,0.168,-0.759,217.53,0.764,3.91,4.33,0.598,1,-0.27,5.9,0.749,-6.17,1.97,0.408
P02072,D0879,0.914,0.618,-0.768,454.42,0.097,-1.41,8.45,0.66,0,-1.2,61.0,0.981,-2.64,1.72,0.984
P03381,D0832,0.006,0.383,0.033,676.33,0.186,6.17,7.29,0.401,0,0.01,44.8,0.6,-7.35,2.56,0.303
P09975,D0489,0.386,0.553,0.759,832.16,0.274,3.99,6.02,0.949,0,0.57,57.9,0.728,-5.99,0.67,0.106
P02885,D0839,0.887,0.529,0.488,292.16,0.456,4.22,4.03,0.047,1,0.43,44.2,0.686,-6.52,0.41,0.354
P03505,D0242,0.014,0.619,0.728,468.56,0.917,3.74,5.63,0.534,0,0.55,9.2,0.414,0.73,1.69,0.023
P06345,D0619,0.102,0.311,0.728,321.02,0.765,4.2,5.67,0.745,0,1.91,44.3,0.274,-3.68,2.78,0.497
P06920,D0571,0.431,0.341,-0.771,177.67,0.624,-1.48,5.35,0.451,0,-0.91,16.1,0.628,-2.78,2.26,0.777
P00824,D0567,0.98,0.736,0.102,491.99,0.807,3.77,5.43,0.642,1,-1.58,45.2,0.905,-5.67,4.08,0.607
P02801,D0647,0.927,0.754,0.578,464.79,0.883,0.93,5.15,0.828,1,1.38,47.1,0.915,-8.77,2.61,0.394
P04917,D0598,0.585,0.599,0.899,766.2,0.462,0.35,7.24,0.742,0,1.89,38.3,0.311,-8.04,3.73,0.262
P02882,D0441,0.253,0.323,0.368,817.88,0.742,-0.41,7.32,0.545,0,0.29,3.2,0.857,-6.01,2.64,0.121
P03293,D0660,0.642,0.428,0.713,415.04,0.925,5.64,8.63,0.95,0,1.76,8.7,0.17,-3.49,3.35,0.348
P03169,D0708,0.323,0.424,-0.256,681.22,0.532,4.39,6.82,0.999,0,1.43,40.8,0.629,-9.64,3.56,0.304
P08150,D0806,0.653,0.391,0.412,583.43,0.763,-0.03,6.05,0.59,0,1.39,12.5,0.496,-7.88,0.27,0.511
P06562,D0634,0.169,0.434,-0.259,727.54,0.982,-1.91,7.28,0.098,0,1.57,8.5,0.309,-1.57,2.94,0.198
P01844,D0010,0.602,0.557,-0.61,259.74,0.472,1.25,5.24,0.24,0,0.4,10.6,0.774,-3.03,0.32,0.452
P00908,D0601,0.692,0.79,-0.869,759.74,0.672,3.16,8.4,0.773,0,-0.93,55.5,0.721,-4.83,0.64,0.631
P02506,D0693,0.715,0.375,0.769,602.04,0.447,-2.9,7.08,0.427,0,-1.86,33.3,0.84,-6.45,2.5,0.892
P08221,D0902,0.977,0.506,-0.871,725.6,0.716,2.21,6.42,0.621,1,0.29,15.9,0.632,-7.5,3.22,0.226
P02933,D0994,0.026,0.681,0.999,465.0,0.388,-1.96,4.96,0.038,0,1.86,34.9,0.208,-0.15,4.76,0.359
P08854,D0718,0.077,0.518,0.021,156.18,0.128,5.19,4.06,0.989,0,-0.78,55.4,0.579,-9.74,3.81,0.467
P02555,D0983,0.605,0.802,0.008,838.47,0.888,3.71,4.91,0.423,1,0.6,69.0,0.222,-7.79,3.41,0.652
P02043,D0276,0.483,0.614,-0.853,696.35,0.711,0.8,7.88,0.777,0,-1.23,61.5,0.91,-7.62,4.48,0.501
P09614,D0275,0.629,0.603,-0.851,668.07,0.995,-0.77,6.16,0.749,1,-1.82,21.9,0.637,-6.74,4.38,0.12
P00040,D0735,0.694,0.607,0.436,504.95,0.727,0.83,8.02,0.477,1,-0.99,26.9,0.438,-2.41,3.13,0.522
P05681,D0305,0.034,0.628,-0.114,182.89,0.845,5.95,5.2,0.817,0,1.17,52.4,0.138,0.56,0.77,0.842
P09319,D0828,0.482,0.581,-0.645,253.36,0.957,-2.32,4.72,0.333,0,1.83,54.2,0.667,-2.88,3.25,0.238
P00015,D0081,0.497,0.583,-0.595,478.92,0.059,6.19,5.04,0.056,0,-1.08,6.1,0.088,0.13,2.84,0.029
P09425,D0262,0.621,0.485,-0.537,745.03,0.857,-2.25,7.69,0.376,0,-0.3,14.5,0.084,-2.61,1.67,0.881
P04634,D0428,0.358,0.668,0.621,817.35,0.111,-2.63,7.13,0.588,0,-1.41,10.6,0.059,-3.43,0.21,0.242
P03891,D0877,0.068,0.595,0.223,493.36,0.879,-1.01,8.27,0.049,0,1.23,55.7,0.919,-5.0,2.67,0.791
P03370,D0402,0.323,0.468,-0.855,896.24,0.773,-1.54,6.84,0.675,0,-0.08,43.2,0.445,-2.31,2.23,0.673
P07283,D0525,0.218,0.657,0.381,884.85,0.466,6.32,7.12,0.962,0,1.21,57.6,0.156,-3.97,0.16,0.154
P06881,D0905,0.786,0.463,0.04,422.75,0.813,-0.55,5.82,0.224,1,0.93,64.5,0.732,-5.52,2.57,0.512
P02212,D0656,0.88,0.255,0.16,198.61,0.402,5.25,7.47,0.049,1,-0.35,56.2,0.446,-1.49,1.71,0.329
P02100,D0185,0.174,0.554,-0.396,519.66,0.729,0.2,5.83,0.082,0,-0.86,5.3,0.925,-8.12,0.88,0.902
P06828,D0787,0.609,0.544,-0.964,884.61,0.198,-1.52,6.47,0.058,0,-1.79,41.6,0.071,-5.39,0.26,0.669
P04428,D0217,0.201,0.411,0.017,424.37,0.071,1.21,4.34,0.902,0,1.79,28.4,0.254,-2.49,1.93,0.625
P03724,D0908,0.832,0.56,0.19,413.58,0.666,-2.02,5.62,0.184,1,-1.35,22.5,0.963,-1.07,0.67,0.171
P00181,D0032,0.772,0.284,0.291,378.0,0.413,3.03,4.64,0.309,0,-1.64,44.1,0.714,-1.44,4.07,0.969
P07707,D0984,0.582,0.742,-0.116,862.54,0.221,-1.4,6.35,0.927,0,0.82,21.8,0.487,-1.97,3.96,0.132
P00919,D0828,0.317,0.347,0.121,291.22,0.162,2.61,4.31,0.071,0,0.57,33.3,0.818,-3.88,2.67,0.74
P06589,D0748,0.983,0.711,0.088,476.46,0.874,-0.64,5.78,0.61,1,0.46,18.0,0.705,-5.14,1.62,0.95
P03427,D0971,0.646,0.738,-0.261,303.35,0.348,6.17,6.43,0.26,0,1.71,68.7,0.101,0.02,1.44,0.448
P04923,D0922,0.739,0.794,0.616,233.8,0.827,-0.82,6.76,0.938,0,1.68,23.4,0.679,-4.37,0.51,0.28
P00281,D0368,0.88,0.525,-0.134,477.37,0.173,1.68,5.21,0.002,0,0.89,56.6,0.245,-0.45,1.79,0.62
P04320,D0336,0.824,0.362,-0.525,754.45,0.461,-2.83,4.24,0.444,0,-0.62,60.4,0.142,-7.62,4.65,0.624
P07808,D0285,0.821,0.602,-0.982,155.81,0.437,-1.79,4.02,0.937,0,-1.71,6.9,0.001,-6.83,4.94,0.652
P08826,D0088,0.254,0.474,-0.426,513.78,0.231,-1.38,5.01,0.619,0,1.19,10.8,0.539,-3.37,0.4,0.632
P02067,D0679,0.316,0.505,-0.793,529.44,0.196,5.28,6.43,0.278,0,-0.15,28.0,0.705,-2.98,1.01,0.047
P00722,D0288,0.393,0.718,0.002,206.99,0.495,3.24,5.79,0.711,0,0.88,21.5,0.313,-4.84,2.24,0.136
P04247,D0981,0.917,0.512,-0.237,883.75,0.455,-2.6,7.14,0.635,0,-0.69,70.5,0.55,-2.84,4.09,0.49
P05634,D0656,0.057,0.474,-0.498,298.37,0.784,-1.19,5.56,0.306,0,-1.78,6.3,0.556,-9.93,2.56,0.483
P04298,D0692,0.259,0.436,-0.741,829.97,0.474,5.68,6.77,0.977,0,-0.7,69.1,0.807,-7.09,0.27,0.403
P04253,D0597,0.443,0.511,0.611,321.98,0.332,0.07,8.31,0.881,0,-1.68,26.5,0.341,-3.93,2.63,0.771
P02477,D0587,0.715,0.424,0.97,543.47,0.481,-0.91,6.57,0.728,0,0.52,35.1,0.155,-3.62,2.87,0.113
P04493,D0656,0.162,0.467,0.723,750.17,0.918,4.97,6.78,0.527,0,-0.19,45.5,0.32,-7.09,2.69,0.506
P09934,D0764,0.507,0.579,0.574,862.34,0.149,0.97,7.2,0.262,0,1.04,44.9,0.005,0.92,4.45,0.249
P04939,D0516,0.335,0.317,0.062,451.11,0.916,1.84,5.43,0.353,0,-0.54,25.1,0.163,-9.26,2.1,0.541
P09360,D0585,0.216,0.414,0.671,202.57,0.698,4.05,7.68,0.466,0,0.92,34.0,0.235,-4.66,0.64,0.537
P04199,D0318,0.062,0.507,0.068,167.24,0.665,6.08,7.84,0.011,0,-0.76,20.6,0.316,-5.49,2.57,0.005
P08448,D0896,0.822,0.759,-0.356,805.35,0.433,3.99,4.81,0.605,0,-0.41,19.1,0.875,-2.29,1.2,0.494
P03430,D0362,0.685,0.567,-0.548,509.03,0.361,0.94,6.84,0.053,0,-0.59,6.8,0.394,-6.71,0.26,0.295
P07299,D0070,0.281,0.624,-0.568,262.46,0.747,6.64,6.21,0.434,0,-1.34,31.0,0.406,-6.71,3.4,0.6
P06015,D0773,0.389,0.508,-0.088,498.1,0.61,2.48,4.56,0.667,0,-0.55,26.0,0.509,-7.83,2.39,0.083
P08804,D0366,0.548,0.559,0.277,316.83,0.652,6.02,8.68,0.444,0,0.24,17.6,0.247,-5.08,1.33,0.964
P02811,D0370,0.321,0.505,-0.696,674.6,0.619,5.88,5.55,0.346,0,-1.16,10.2,0.229,-0.97,0.33,0.799
P00167,D0660,0.187,0.511,-0.976,455.55,0.059,2.11,6.32,0.227,0,0.64,8.2,0.362,-2.49,2.32,0.76
P05612,D0691,0.211,0.276,-0.954,696.1,0.516,-0.92,5.83,0.054,0,-1.5,26.5,0.658,-4.78,0.88,0.574
P03536,D0254,0.851,0.441,-0.383,723.75,0.361,0.72,7.69,0.323,0,-0.23,35.9,0.916,0.4,2.72,0.337
P04617,D0218,0.485,0.562,0.441,430.66,0.802,-1.25,7.14,0.568,0,-1.52,51.1,0.397,-0.19,4.82,0.654
P01046,D0713,0.472,0.666,-0.992,647.4,0.589,-1.41,7.23,0.284,0,0.46,50.1,0.425,-3.8,3.18,0.92
P00779,D0356,0.388,0.586,-0.065,730.31,0.435,5.95,4.25,0.717,0,-0.1,6.5,0.098,-1.13,1.75,0.924
P03984,D0790,0.723,0.355,-0.405,188.28,0.993,-1.59,8.88,0.423,1,1.26,5.2,0.667,-8.98,1.21,0.548
P08022,D0422,0.83,0.57,0.828,294.84,0.673,6.75,5.41,0.43,0,-0.33,54.7,0.678,0.08,1.78,0.917
P02440,D0562,0.721,0.563,0.917,886.72,0.882,-0.22,4.71,0.307,1,0.15,57.8,0.659,-0.07,3.22,0.658
P08135,D0447,0.485,0.58,-0.203,155.41,0.922,1.59,5.13,0.754,0,0.72,31.8,0.882,-5.35,0.51,0.485
P00129,D0548,0.201,0.528,0.955,384.7,0.743,-1.14,7.55,0.345,0,-1.93,22.5,0.276,0.52,0.86,0.972
P07982,D0304,0.542,0.221,0.942,736.64,0.42,0.73,8.85,0.33,0,1.71,11.9,0.45,-8.31,2.44,0.457
P00709,D0303,0.726,0.283,0.152,387.23,0.492,2.99,5.42,0.791,0,0.17,16.0,0.562,-7.06,4.79,0.94
P00797,D0419,0.413,0.375,-0.229,764.57,0.158,6.16,5.31,0.366,0,1.88,29.0,0.712,-1.91,4.71,0.225
P06480,D0898,0.991,0.351,-0.789,249.23,0.616,6.42,8.73,0.005,1,-1.51,69.6,0.291,-0.17,0.11,0.359
P05229,D0122,0.935,0.574,0.107,807.59,0.512,-2.47,7.08,0.484,0,-0.57,43.0,0.684,-7.71,2.85,0.72
P03531,D0077,0.933,0.192,0.67,504.53,0.214,2.32,6.74,0.126,0,-1.56,37.7,0.0,0.37,1.45,0.394
P04533,D0024,0.594,0.736,-0.208,177.67,0.041,-1.64,5.41,0.975,0,-0.46,32.6,0.838,-1.96,0.31,0.289
P01111,D0708,0.553,0.776,0.011,617.48,0.869,-1.55,6.67,0.942,0,-1.64,1.3,0.624,0.29,3.55,0.296
P05497,D0506,0.534,0.559,-0.203,357.94,0.031,5.21,4.04,0.897,0,-1.3,13.8,0.281,-5.8,3.49,0.15
P03511,D0046,0.469,0.491,0.407,675.32,0.381,0.26,6.79,0.875,0,-1.55,45.4,0.355,-1.2,2.49,0.062
P02812,D0236,0.161,0.339,0.102,827.05,0.56,6.85,6.39,0.903,0,0.32,43.7,0.183,-4.83,2.89,0.899
P04426,D0049,0.877,0.396,0.028,212.74,0.529,4.98,7.0,0.713,0,0.37,42.4,0.289,0.39,1.24,0.612
P03270,D0647,0.818,0.551,-0.565,333.2,0.534,2.47,7.71,0.044,1,0.88,17.5,0.85,-8.31,2.75,0.501
P06941,D0810,0.743,0.529,0.186,443.34,0.227,-2.64,4.88,0.903,0,0.81,22.0,0.787,0.46,0.17,0.7
P09251,D0696,0.69,0.678,-0.011,869.93,0.331,-2.28,4.89,0.154,0,0.95,40.5,0.191,-5.5,3.37,0.891
P01493,D0705,0.466,0.434,0.404,454.16,0.006,3.05,6.23,0.239,0,1.66,12.5,0.697,0.62,0.2,0.33
P07332,D0676,0.996,0.421,0.265,234.96,0.925,5.4,7.68,0.839,1,-1.32,18.9,0.194,-9.69,1.99,0.5
P07197,D0919,0.441,0.714,-0.412,373.23,0.606,2.17,4.82,0.626,0,1.4,58.1,0.862,-0.94,1.08,0.047
P03327,D0432,0.263,0.398,0.26,164.49,0.819,5.72,6.1,0.406,0,1.47,18.9,0.931,-3.0,3.09,0.78
